GISJOIN,STATEFP,COUNTYFP,TRACTCE,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G3600050029700,36,5,29700,0,318,318,0
G3600050030000,36,5,30000,10,421,431,0.023201857
G3600050030100,36,5,30100,0,44,44,0
G3600050030200,36,5,30200,61,725,786,0.077608146
G3600050030701,36,5,30701,28,394,422,0.066350713
G3600050030900,36,5,30900,11,270,281,0.039145909
G3600050031000,36,5,31000,22,233,255,0.086274512
G3600050031200,36,5,31200,0,168,168,0
G3600050031400,36,5,31400,18,158,176,0.10227273
G3600050031600,36,5,31600,92,152,244,0.37704918
G3600050031800,36,5,31800,44,118,162,0.27160493
G3600050031900,36,5,31900,0,0,0,-99
G3600050032300,36,5,32300,0,321,321,0
G3600050032400,36,5,32400,221,192,413,0.53510898
G3600050032600,36,5,32600,14,253,267,0.052434456
G3600050032800,36,5,32800,183,358,541,0.33826247
G3600050033000,36,5,33000,118,279,397,0.29722923
G3600050033201,36,5,33201,157,296,453,0.34657836
G3600050033202,36,5,33202,81,323,404,0.20049505
G3600050033400,36,5,33400,15,104,119,0.12605043
G3600050033500,36,5,33500,0,94,94,0
G3600050033600,36,5,33600,332,521,853,0.38921455
G3600050033700,36,5,33700,0,179,179,0
G3600050033800,36,5,33800,190,250,440,0.43181819
G3600050034000,36,5,34000,187,406,593,0.3153457
G3600050034200,36,5,34200,59,148,207,0.28502417
G3600050034300,36,5,34300,52,169,221,0.23529412
G3600050034400,36,5,34400,34,163,197,0.17258883
G3600050034500,36,5,34500,60,239,299,0.2006689
G3600050034800,36,5,34800,277,614,891,0.31088665
G3600050035000,36,5,35000,70,185,255,0.27450982
G3600050035100,36,5,35100,52,155,207,0.25120774
G3600050035600,36,5,35600,12,219,231,0.051948052
G3600050035800,36,5,35800,66,698,764,0.086387433
G3600050035900,36,5,35900,126,114,240,0.52499998
G3600050036000,36,5,36000,25,249,274,0.091240875
G3600050036100,36,5,36100,355,442,797,0.44542032
G3600050036300,36,5,36300,630,413,1043,0.60402685
G3600050036400,36,5,36400,12,246,258,0.046511628
G3600050036501,36,5,36501,373,212,585,0.63760686
G3600050036502,36,5,36502,134,105,239,0.56066948
G3600050036700,36,5,36700,191,118,309,0.61812299
G3600050036800,36,5,36800,20,199,219,0.091324203
G3600050036901,36,5,36901,191,89,280,0.68214285
G3600050036902,36,5,36902,150,98,248,0.60483873
G3600050037000,36,5,37000,40,208,248,0.16129032
G3600050037100,36,5,37100,82,264,346,0.23699422
G3600050037200,36,5,37200,76,84,160,0.47499999
G3600050037300,36,5,37300,325,377,702,0.46296296
G3600050037400,36,5,37400,178,237,415,0.42891565
G3600050037504,36,5,37504,306,199,505,0.60594058
G3600050037600,36,5,37600,32,297,329,0.097264439
G3600050037800,36,5,37800,81,307,388,0.20876288
G3600050037900,36,5,37900,343,327,670,0.5119403
G3600050038000,36,5,38000,222,322,544,0.40808824
G3600050038100,36,5,38100,299,530,829,0.36067551
G3600050038200,36,5,38200,107,239,346,0.30924857
G3600050038301,36,5,38301,245,300,545,0.44954127
G3600050038302,36,5,38302,500,231,731,0.68399453
G3600050038500,36,5,38500,324,341,665,0.48721805
G3600050038600,36,5,38600,77,697,774,0.099483207
G3600050038700,36,5,38700,303,171,474,0.6392405
G3600050038800,36,5,38800,77,257,334,0.23053892
G3600050038900,36,5,38900,321,317,638,0.50313479
G3600050039000,36,5,39000,144,161,305,0.47213113
G3600050039100,36,5,39100,414,541,955,0.43350786
G3600050039200,36,5,39200,91,161,252,0.3611111
G3600050039300,36,5,39300,483,537,1020,0.4735294
G3600050039400,36,5,39400,188,324,512,0.3671875
G3600050039500,36,5,39500,170,298,468,0.36324787
G3600050039600,36,5,39600,143,319,462,0.30952382
G3600050039700,36,5,39700,93,70,163,0.57055217
G3600050039800,36,5,39800,61,218,279,0.21863799
G3600050039901,36,5,39901,399,278,677,0.58936483
G3600050039902,36,5,39902,261,320,581,0.44922549
G3600050040100,36,5,40100,310,342,652,0.47546011
G3600050040302,36,5,40302,315,258,573,0.54973823
G3600050040303,36,5,40303,87,286,373,0.23324397
G3600050040304,36,5,40304,136,299,435,0.31264368
G3600050040400,36,5,40400,33,238,271,0.12177122
G3600050040501,36,5,40501,168,281,449,0.37416482
G3600050040502,36,5,40502,273,319,592,0.46114865
G3600050040600,36,5,40600,74,166,240,0.30833334
G3600050040701,36,5,40701,234,187,421,0.55581945
G3600050040702,36,5,40702,370,504,874,0.42334095
G3600050040800,36,5,40800,205,367,572,0.35839161
G3600050040900,36,5,40900,95,217,312,0.30448717
G3600050041100,36,5,41100,75,255,330,0.22727273
G3600050041300,36,5,41300,229,545,774,0.29586563
G3600050041400,36,5,41400,81,367,448,0.18080357
G3600050041500,36,5,41500,196,408,604,0.3245033
G3600050041800,36,5,41800,266,183,449,0.59242761
G3600050041900,36,5,41900,234,532,766,0.30548304
G3600050042000,36,5,42000,77,321,398,0.19346733
G3600050042100,36,5,42100,187,365,552,0.33876812
G3600050042200,36,5,42200,47,301,348,0.13505746
G3600050042300,36,5,42300,261,323,584,0.4469178
G3600050042400,36,5,42400,41,228,269,0.15241636
G3600050042500,36,5,42500,339,402,741,0.45748988
G3600050042600,36,5,42600,195,676,871,0.2238806
G3600050042800,36,5,42800,23,141,164,0.1402439
G3600050042901,36,5,42901,159,253,412,0.38592234
G3600050042902,36,5,42902,233,322,555,0.41981983
G3600050043000,36,5,43000,0,316,316,0
G3600050043100,36,5,43100,338,612,950,0.35578948
G3600050043400,36,5,43400,88,393,481,0.18295218
G3600050043500,36,5,43500,0,9,9,0
G3600050043600,36,5,43600,61,262,323,0.18885449
G3600050044200,36,5,44200,127,194,321,0.39563861
G3600050044400,36,5,44400,52,321,373,0.13941018
G3600050044800,36,5,44800,22,189,211,0.1042654
G3600050044901,36,5,44901,6,52,58,0.10344828
G3600050044902,36,5,44902,12,123,135,0.088888891
G3600050045101,36,5,45101,2,65,67,0.029850746
G3600050045102,36,5,45102,4,122,126,0.031746034
G3600050045600,36,5,45600,8,256,264,0.030303031
G3600050045800,36,5,45800,563,241,804,0.70024878
G3600050046000,36,5,46000,144,271,415,0.34698796
G3600050046201,36,5,46201,109,2208,2317,0.047043592
G3600050046202,36,5,46202,260,947,1207,0.21541011
G3600050048400,36,5,48400,29,472,501,0.057884231
G3600050050400,36,5,50400,0,7,7,0
G3600050051600,36,5,51600,0,386,386,0
G3600070000100,36,7,100,45,101,146,0.30821916
G3600070000200,36,7,200,101,122,223,0.4529148
G3600070000300,36,7,300,46,145,191,0.24083769
G3600070000400,36,7,400,73,122,195,0.37435898
